source_id,relation_type,target_id
138,author_of,198
115,author_of,199
176,author_of,199
157,author_of,200
36,author_of,201
36,author_of,202
115,author_of,203
36,author_of,204
26,author_of,205
122,author_of,205
155,author_of,206
195,author_of,207
195,author_of,208
155,author_of,209
195,author_of,210
195,author_of,211
195,author_of,212
155,author_of,213
7,author_of,214
27,author_of,214
154,author_of,215
187,author_of,216
187,author_of,217
42,author_of,217
187,author_of,218
195,author_of,219
176,author_of,220
36,author_of,220
187,author_of,221
187,author_of,222
154,author_of,223
187,author_of,224
187,author_of,225
187,author_of,226
195,author_of,227
9,author_of,227
195,author_of,228
187,author_of,229
42,author_of,230
187,author_of,230
90,author_of,231
195,author_of,232
42,author_of,233
187,author_of,233
90,author_of,234
42,author_of,235
187,author_of,235
195,author_of,236
187,author_of,237
90,author_of,238
195,author_of,239
187,author_of,240
195,author_of,241
145,author_of,242
195,author_of,243
8,author_of,244
152,author_of,244
42,author_of,245
10,author_of,245
187,author_of,245
187,author_of,246
65,author_of,247
65,author_of,248
10,author_of,249
187,author_of,249
42,author_of,250
187,author_of,250
161,author_of,251
161,author_of,252
161,author_of,253
161,author_of,254
102,author_of,255
161,author_of,255
82,author_of,256
46,author_of,257
46,author_of,258
187,author_of,259
46,author_of,260
46,author_of,261
155,author_of,262
168,author_of,263
92,author_of,264
138,author_of,264
36,author_of,265
168,author_of,266
157,author_of,267
197,author_of,268
195,author_of,269
137,author_of,270
138,author_of,271
26,author_of,272
28,author_of,273
76,author_of,274
112,author_of,275
169,author_of,276
22,author_of,277
147,author_of,277
106,author_of,278
161,author_of,278
54,author_of,279
54,author_of,280
44,author_of,281
114,author_of,281
54,author_of,282
147,author_of,283
187,author_of,284
90,author_of,285
187,author_of,286
26,author_of,287
26,author_of,288
133,author_of,289
133,author_of,290
133,author_of,291
102,author_of,292
195,author_of,293
115,author_of,294
115,author_of,295
138,author_of,296
115,author_of,297
115,author_of,298
115,author_of,299
178,author_of,300
115,author_of,301
90,author_of,302
137,author_of,302
138,author_of,303
115,author_of,304
115,author_of,305
46,author_of,306
46,author_of,307
46,author_of,308
46,author_of,309
78,author_of,310
195,author_of,311
195,author_of,312
195,author_of,313
195,author_of,314
195,author_of,315
36,author_of,316
0,author_of,317
0,author_of,318
114,author_of,319
169,author_of,320
172,author_of,321
7,author_of,322
27,author_of,322
27,author_of,323
187,author_of,324
10,author_of,324
10,author_of,325
172,author_of,326
186,author_of,327
103,author_of,328
103,author_of,329
103,author_of,330
103,author_of,331
103,author_of,332
103,author_of,333
103,author_of,334
103,author_of,335
103,author_of,336
103,author_of,337
103,author_of,338
103,author_of,339
103,author_of,340
103,author_of,341
103,author_of,342
103,author_of,343
103,author_of,344
103,author_of,345
103,author_of,346
103,author_of,347
103,author_of,348
103,author_of,349
103,author_of,350
103,author_of,351
103,author_of,352
103,author_of,353
103,author_of,354
78,author_of,355
98,author_of,355
103,author_of,355
103,author_of,356
103,author_of,357
103,author_of,358
103,author_of,359
138,author_of,360
171,author_of,361
192,author_of,361
147,author_of,361
138,author_of,362
138,author_of,363
43,author_of,364
17,author_of,365
112,author_of,366
112,author_of,367
94,author_of,368
112,author_of,369
112,author_of,370
112,author_of,371
112,author_of,372
94,author_of,373
94,author_of,374
112,author_of,375
94,author_of,376
43,author_of,377
187,author_of,378
47,author_of,379
2,author_of,379
149,author_of,380
76,author_of,381
129,author_of,382
169,author_of,382
129,author_of,383
90,author_of,383
76,author_of,384
129,author_of,385
169,author_of,385
129,author_of,386
129,author_of,387
129,author_of,388
47,author_of,389
47,author_of,390
76,author_of,391
76,author_of,392
76,author_of,393
76,author_of,394
129,author_of,395
129,author_of,396
129,author_of,397
133,author_of,398
76,author_of,399
76,author_of,400
76,author_of,401
26,author_of,402
76,author_of,403
76,author_of,404
133,author_of,405
76,author_of,406
47,author_of,407
76,author_of,408
76,author_of,409
76,author_of,410
2,author_of,411
129,author_of,412
90,author_of,412
196,author_of,413
7,author_of,414
181,author_of,415
141,author_of,416
127,author_of,417
181,author_of,418
23,author_of,419
85,author_of,419
115,author_of,420
32,author_of,421
29,author_of,422
99,author_of,423
135,author_of,424
172,author_of,425
186,author_of,426
137,author_of,427
137,author_of,428
168,author_of,429
90,author_of,429
90,author_of,430
137,author_of,431
137,author_of,432
159,author_of,433
137,author_of,433
137,author_of,434
90,author_of,435
137,author_of,436
90,author_of,437
90,author_of,438
90,author_of,439
90,author_of,440
85,author_of,441
127,author_of,442
115,author_of,443
22,author_of,444
151,author_of,444
147,author_of,445
20,author_of,446
90,author_of,446
168,author_of,447
43,author_of,448
168,author_of,449
127,author_of,450
102,author_of,451
7,author_of,452
27,author_of,452
7,author_of,453
27,author_of,453
7,author_of,454
27,author_of,454
7,author_of,455
27,author_of,455
7,author_of,456
27,author_of,456
7,author_of,457
27,author_of,457
28,author_of,458
28,author_of,459
28,author_of,460
154,author_of,461
154,author_of,462
154,author_of,463
154,author_of,464
154,author_of,465
165,author_of,466
85,author_of,467
115,author_of,468
138,author_of,469
135,author_of,470
135,author_of,471
76,author_of,472
135,author_of,473
135,author_of,474
135,author_of,475
139,author_of,476
139,author_of,477
135,author_of,478
129,author_of,479
169,author_of,479
90,author_of,479
36,author_of,480
125,author_of,481
138,author_of,481
177,author_of,482
36,author_of,482
36,author_of,483
125,author_of,484
101,author_of,484
138,author_of,484
177,author_of,485
36,author_of,485
36,author_of,486
125,author_of,487
138,author_of,487
36,author_of,488
146,author_of,488
36,author_of,489
36,author_of,490
36,author_of,491
177,author_of,492
99,author_of,492
36,author_of,492
177,author_of,493
36,author_of,493
36,author_of,494
146,author_of,494
36,author_of,495
36,author_of,496
36,author_of,497
94,author_of,498
115,author_of,499
175,author_of,500
29,author_of,501
37,author_of,502
29,author_of,503
29,author_of,504
29,author_of,505
29,author_of,506
29,author_of,507
29,author_of,508
29,author_of,509
29,author_of,510
29,author_of,511
29,author_of,512
29,author_of,513
29,author_of,514
157,author_of,514
29,author_of,515
29,author_of,516
29,author_of,517
29,author_of,518
29,author_of,519
29,author_of,520
29,author_of,521
187,author_of,522
10,author_of,522
182,author_of,523
22,author_of,524
182,author_of,525
182,author_of,526
90,author_of,527
182,author_of,528
28,author_of,529
98,author_of,530
187,author_of,530
50,author_of,531
98,author_of,532
98,author_of,533
187,author_of,533
175,author_of,534
175,author_of,535
175,author_of,536
175,author_of,537
103,author_of,538
98,author_of,539
42,author_of,540
187,author_of,540
46,author_of,541
28,author_of,542
187,author_of,543
120,author_of,544
115,author_of,544
103,author_of,545
47,author_of,546
154,author_of,547
46,author_of,548
147,author_of,549
147,author_of,550
171,author_of,550
77,author_of,551
147,author_of,552
175,author_of,553
65,author_of,554
65,author_of,555
65,author_of,556
187,author_of,556
42,author_of,557
187,author_of,558
8,author_of,559
46,author_of,559
128,author_of,560
138,author_of,560
197,author_of,561
197,author_of,562
197,author_of,563
197,author_of,564
197,author_of,565
181,author_of,566
181,author_of,567
90,author_of,568
90,author_of,569
120,author_of,570
3,author_of,571
24,author_of,572
115,author_of,573
115,author_of,574
175,author_of,575
65,author_of,576
65,author_of,577
168,author_of,578
65,author_of,579
168,author_of,580
175,author_of,581
89,author_of,582
65,author_of,583
168,author_of,584
70,author_of,585
