author_uri,author_name,primary_affiliations,all_affiliations,matched_paderborn_affiliations
https://dblp.org/pid/52/7395,Ulrich Wechselberger,"University of Paderborn, Center for Educational Research and Teacher Education, Germany","University of Paderborn, Center for Educational Research and Teacher Education, Germany","University of Paderborn, Center for Educational Research and Teacher Education, Germany | University of Paderborn, Center for Educational Research and Teacher Education, Germany"
https://dblp.org/pid/52/3346-15,Christian Schmidt,"Universit\u00E4t Paderborn, Germany","Universit\u00E4t Paderborn, Germany","Universit\u00E4t Paderborn, Germany | Universit\u00E4t Paderborn, Germany"
https://dblp.org/pid/53/3909,Harald Selke,"University of Paderborn, Heinz Nixdorf Institut, Germany","University of Paderborn, Heinz Nixdorf Institut, Germany","University of Paderborn, Heinz Nixdorf Institut, Germany | University of Paderborn, Heinz Nixdorf Institut, Germany"
https://dblp.org/pid/53/4856,Patrick Briest,"University of Paderborn, Department of Computer Science, Germany","University of Paderborn, Department of Computer Science, Germany","University of Paderborn, Department of Computer Science, Germany | University of Paderborn, Department of Computer Science, Germany"
https://dblp.org/pid/96/1876-1,Tobias Schumacher,"University of Paderborn, Germany","University of Paderborn, Germany","University of Paderborn, Germany | University of Paderborn, Germany"
https://dblp.org/pid/32/10911-1,Peter Stadler,"Paderborn University, Germany","Paderborn University, Germany","Paderborn University, Germany | Paderborn University, Germany"
https://dblp.org/pid/319/8710,Christian Koldewey,"Universit\u00E4t Paderborn, Paderborn, Germany","Universit\u00E4t Paderborn, Paderborn, Germany","Universit\u00E4t Paderborn, Paderborn, Germany | Universit\u00E4t Paderborn, Paderborn, Germany"
https://dblp.org/pid/b/StBottcher,Stefan B\u00F6ttcher,"University of Paderborn, Department of Computer Science","University of Paderborn, Department of Computer Science","University of Paderborn, Department of Computer Science | University of Paderborn, Department of Computer Science"
https://dblp.org/pid/86/4463-2,Michael Baumann,"University of Paderborn, Germany","University of Paderborn, Germany","University of Paderborn, Germany | University of Paderborn, Germany"
https://dblp.org/pid/132/9687,Yasemin Acar,"Paderborn University, Departmemnt of Computer Science, Germany","Paderborn University, Departmemnt of Computer Science, Germany","Paderborn University, Departmemnt of Computer Science, Germany | Paderborn University, Departmemnt of Computer Science, Germany"
https://dblp.org/pid/168/1542,Diego Moussallem,"Paderborn University, Department of Computer Science, Germany","Paderborn University, Department of Computer Science, Germany","Paderborn University, Department of Computer Science, Germany | Paderborn University, Department of Computer Science, Germany"
https://dblp.org/pid/320/6059,Christian Schulz,"Paderborn University, Germany","Paderborn University, Germany","Paderborn University, Germany | Paderborn University, Germany"
https://dblp.org/pid/27/5935-4,Hongwei Zhang,"University of Paderborn, Germany","University of Paderborn, Germany","University of Paderborn, Germany | University of Paderborn, Germany"
https://dblp.org/pid/169/3113,Thomas D. K\u00FChne,"University of Paderborn, Department of Chemistry, Germany","University of Paderborn, Department of Chemistry, Germany","University of Paderborn, Department of Chemistry, Germany | University of Paderborn, Department of Chemistry, Germany"
https://dblp.org/pid/133/9707,Marc Landmann,"University of Paderborn, Department of Physics","University of Paderborn, Department of Physics","University of Paderborn, Department of Physics | University of Paderborn, Department of Physics"
https://dblp.org/pid/133/9755,Uwe Gerstmann,"University of Paderborn, Germany","University of Paderborn, Germany","University of Paderborn, Germany | University of Paderborn, Germany"
https://dblp.org/pid/128/3388,Wolf Gero Schmidt,"University of Paderborn, Department of Physics, Germany","University of Paderborn, Department of Physics, Germany","University of Paderborn, Department of Physics, Germany | University of Paderborn, Department of Physics, Germany"
https://dblp.org/pid/128/3400,Martin Rohrm\u00FCller,"University of Paderborn, Germany","University of Paderborn, Germany","University of Paderborn, Germany | University of Paderborn, Germany"
https://dblp.org/pid/i/TobiasIsenberg2,Tobias Isenberg,University of Paderborn,University of Paderborn,University of Paderborn | University of Paderborn
https://dblp.org/pid/93/4106,Karl-Heinz Indlekofer,"University of Paderborn, Germany","University of Paderborn, Germany","University of Paderborn, Germany | University of Paderborn, Germany"
https://dblp.org/pid/50/6546,Christian Soltenborn,"University of Paderborn, Department of Computer Science, Germany","University of Paderborn, Department of Computer Science, Germany","University of Paderborn, Department of Computer Science, Germany | University of Paderborn, Department of Computer Science, Germany"
https://dblp.org/pid/50/146-4,Thomas Berger,"Universit\u00E4t Paderborn, Paderborn, Germany","Universit\u00E4t Paderborn, Paderborn, Germany","Universit\u00E4t Paderborn, Paderborn, Germany | Universit\u00E4t Paderborn, Paderborn, Germany"
https://dblp.org/pid/00/2717,Bernd Kleinjohann,"University of Paderborn, Germany","University of Paderborn, Germany","University of Paderborn, Germany | University of Paderborn, Germany"
https://dblp.org/pid/117/6974-1,Jens Weber,"University of Paderborn, Heinz Nixdorf Institute, Germany","University of Paderborn, Heinz Nixdorf Institute, Germany","University of Paderborn, Heinz Nixdorf Institute, Germany | University of Paderborn, Heinz Nixdorf Institute, Germany"
https://dblp.org/pid/48/8997,Martina Eikel,"University of Paderborn, Department of Computer Science","University of Paderborn, Department of Computer Science","University of Paderborn, Department of Computer Science | University of Paderborn, Department of Computer Science"
https://dblp.org/pid/48/3452-11,Michael Schmidt,"University of Paderborn, Germany","University of Paderborn, Germany","University of Paderborn, Germany | University of Paderborn, Germany"
https://dblp.org/pid/48/4209,Johannes Magenheim,"University of Paderborn, Germany","University of Paderborn, Germany","University of Paderborn, Germany | University of Paderborn, Germany"
https://dblp.org/pid/48/5080,Rita Hartel,"University of Paderborn, Germany","University of Paderborn, Germany","University of Paderborn, Germany | University of Paderborn, Germany"
https://dblp.org/pid/164/2698,Vu-Linh Nguyen,"Paderborn University, Heinz Nixdorf Institute, Germany","Paderborn University, Heinz Nixdorf Institute, Germany","Paderborn University, Heinz Nixdorf Institute, Germany | Paderborn University, Heinz Nixdorf Institute, Germany"
https://dblp.org/pid/88/6542,Reinhold H\u00E4b-Umbach,"University of Paderborn, Department of Electrical Engineering and Information Technology, Germany","University of Paderborn, Department of Electrical Engineering and Information Technology, Germany","University of Paderborn, Department of Electrical Engineering and Information Technology, Germany | University of Paderborn, Department of Electrical Engineering and Information Technology, Germany"
https://dblp.org/pid/62/4807-8,Martin Bauer,"University of Paderborn, Germany","University of Paderborn, Germany","University of Paderborn, Germany | University of Paderborn, Germany"
https://dblp.org/pid/62/782,Philipp Adelt,"University of Paderborn, Cooperative Computing & Communication Laboratory (C-LAB), Paderborn, Germany","University of Paderborn, Cooperative Computing & Communication Laboratory (C-LAB), Paderborn, Germany","University of Paderborn, Cooperative Computing & Communication Laboratory (C-LAB), Paderborn, Germany | University of Paderborn, Cooperative Computing & Communication Laboratory (C-LAB), Paderborn, Germany"
https://dblp.org/pid/62/6023-2,Hassan Ghasemzadeh Mohammadi,"Paderborn University, Department of Computer Science, Germany","Paderborn University, Department of Computer Science, Germany","Paderborn University, Department of Computer Science, Germany | Paderborn University, Department of Computer Science, Germany"
https://dblp.org/pid/s/GeorgSchneider5,Georg Schneider,"University of Paderborn, Faculty of Business Administration, Germany","University of Paderborn, Faculty of Business Administration, Germany","University of Paderborn, Faculty of Business Administration, Germany | University of Paderborn, Faculty of Business Administration, Germany"
https://dblp.org/pid/s/TimSchattkowsky,Tim Schattkowsky,"University of Paderborn, Germany","University of Paderborn, Germany","University of Paderborn, Germany | University of Paderborn, Germany"
https://dblp.org/pid/s/AdrianSlowik,Adrian Slowik,"University of Paderborn, Germany","University of Paderborn, Germany","University of Paderborn, Germany | University of Paderborn, Germany"
https://dblp.org/pid/s/ChristianScheideler,Christian Scheideler,"University of Paderborn, Germany","University of Paderborn, Germany","University of Paderborn, Germany | University of Paderborn, Germany"
https://dblp.org/pid/s/MohammadSoleymani-2,Mohammad Soleymani,"Paderborn University, Signal and System Theory Group, Germany","Paderborn University, Signal and System Theory Group, Germany","Paderborn University, Signal and System Theory Group, Germany | Paderborn University, Signal and System Theory Group, Germany"
https://dblp.org/pid/315/0981-2,Verena Wolf,"University of Paderborn, Germany","University of Paderborn, Germany","University of Paderborn, Germany | University of Paderborn, Germany"
https://dblp.org/pid/315/0793-2,Christoph Rasche,"Paderborn University, Heinz Nixdorf Institute, Design of Distributed Embedded Systems, Germany","Paderborn University, Heinz Nixdorf Institute, Design of Distributed Embedded Systems, Germany","Paderborn University, Heinz Nixdorf Institute, Design of Distributed Embedded Systems, Germany | Paderborn University, Heinz Nixdorf Institute, Design of Distributed Embedded Systems, Germany"
https://dblp.org/pid/13/8970,Patricia Arias Cabarcos,"Paderborn University, Germany","Paderborn University, Germany","Paderborn University, Germany | Paderborn University, Germany"
https://dblp.org/pid/13/204-6,Daniel M\u00FCller,"University of Paderborn, Germany","University of Paderborn, Germany","University of Paderborn, Germany | University of Paderborn, Germany"
https://dblp.org/pid/145/1160,Mohamed Ahmed Sherif,"Paderborn University, Department of Computer Science, Germany","Paderborn University, Department of Computer Science, Germany","Paderborn University, Department of Computer Science, Germany | Paderborn University, Department of Computer Science, Germany"
https://dblp.org/pid/25/7857,Ansgar Tr\u00E4chtler,"Fraunhofer Institute for Mechatronic Systems Design (IEM), Paderborn, Germany","Fraunhofer Institute for Mechatronic Systems Design (IEM), Paderborn, Germany","Fraunhofer Institute for Mechatronic Systems Design (IEM), Paderborn, Germany | Fraunhofer Institute for Mechatronic Systems Design (IEM), Paderborn, Germany"
https://dblp.org/pid/63/4934-1,Markus Becker,"University of Paderborn, Germany","University of Paderborn, Germany","University of Paderborn, Germany | University of Paderborn, Germany"
https://dblp.org/pid/134/7582,Gareth T. Davies,"University of Paderborn, Department of Computer Science, Germany","University of Paderborn, Department of Computer Science, Germany","University of Paderborn, Department of Computer Science, Germany | University of Paderborn, Department of Computer Science, Germany"
https://dblp.org/pid/k/HKleineBuning,Hans Kleine B\u00FCning,"University of Paderborn, Germany","University of Paderborn, Germany","University of Paderborn, Germany | University of Paderborn, Germany"
https://dblp.org/pid/k/ReinhardKeilSlawik,Reinhard Keil,"University of Paderborn, Germany","University of Paderborn, Germany","University of Paderborn, Germany | University of Paderborn, Germany"
