paper_uri,title,year,venue_text,venue_uri,rdf_types,total_authors,paderborn_authors
https://dblp.org/rec/reference/algo/GehweilerH08,Bin Packing oder \,2008,Taschenbuch der Algorithmen,,Publication,2,https://dblp.org/pid/h/FMaufderHeide
https://dblp.org/rec/reference/algo/MonienLW08,Der Alphabeta-Algorithmus f\u00FCr Spielb\u00E4ume: Wie bringe ich meinen Computer zum Schachspielen?.,2008,Taschenbuch der Algorithmen,,Publication,3,https://dblp.org/pid/m/BurkhardMonien | https://dblp.org/pid/08/335-1
https://dblp.org/rec/reference/algo/Blomer08,Teilen von Geheimnissen.,2008,Taschenbuch der Algorithmen,,Publication,1,https://dblp.org/pid/33/2110
https://dblp.org/rec/reference/algo/Scheideler08,Broadcasting: Wie verbreite ich schnell Informationen?.,2008,Taschenbuch der Algorithmen,,Publication,1,https://dblp.org/pid/s/ChristianScheideler
https://dblp.org/rec/reference/algo/RichaS16,Jamming-Resistant MAC Protocols for Wireless Networks.,2016,Encyclopedia of Algorithms,,Publication,2,https://dblp.org/pid/s/ChristianScheideler
https://dblp.org/rec/reference/crc/PreisMS07,Approximation Algorithms for Multilevel Graph Partitioning.,2007,Handbook of Approximation Algorithms and Metaheuristics,,Publication,3,https://dblp.org/pid/m/BurkhardMonien
https://dblp.org/rec/reference/crc/RichaS07,Overlay Networks for Peer-to-Peer Networks.,2007,Handbook of Approximation Algorithms and Metaheuristics,,Publication,2,https://dblp.org/pid/s/ChristianScheideler
https://dblp.org/rec/reference/edu/MagenheimS20,Data Science Education.,2020,Encyclopedia of Education and Information Technologies,,Publication,2,https://dblp.org/pid/48/4209 | https://dblp.org/pid/14/3197-1
https://dblp.org/rec/data/11/KempfTJSCZ25,Artifacts for the Paper \,2025,,https://dblp.org/streams/repo/zenodo,Publication,6,https://dblp.org/pid/174/1998
https://dblp.org/rec/data/11/SchiebelSSAB24,Supplementary Material for the paper: \,2024,,https://dblp.org/streams/repo/zenodo,Publication,5,https://dblp.org/pid/94/5744
https://dblp.org/rec/data/11/MiaoKBW25,The Artifacts for Program Feature-based Benchmarking for Fuzz Testing.,2025,,https://dblp.org/streams/repo/zenodo,Publication,4,https://dblp.org/pid/94/5744
https://dblp.org/rec/data/11/KempfTJSCZ25a,Artifacts for the Paper \,2025,,https://dblp.org/streams/repo/zenodo,Publication,6,https://dblp.org/pid/174/1998
https://dblp.org/rec/data/11/MiaoKBW25c,The Artifacts for Program Feature-based Benchmarking for Fuzz Testing.,2025,,https://dblp.org/streams/repo/zenodo,Publication,4,https://dblp.org/pid/94/5744
https://dblp.org/rec/data/11/KummitaMBW25,Artifact for Visualization Task Taxonomy to Understand the Fuzzing Internals.,2025,,https://dblp.org/streams/repo/zenodo,Publication,4,https://dblp.org/pid/94/5744
https://dblp.org/rec/data/11/MiaoKBW25b,The Artifacts for Program Feature-based Benchmarking for Fuzz Testing.,2025,,https://dblp.org/streams/repo/zenodo,Publication,4,https://dblp.org/pid/94/5744
https://dblp.org/rec/data/11/KempfTJSCZ25c,Artifacts for the Paper \,2025,,https://dblp.org/streams/repo/zenodo,Publication,6,https://dblp.org/pid/174/1998
https://dblp.org/rec/data/11/AdlerBHS25,IBB.,2025,,https://dblp.org/streams/repo/drops,Publication,4,https://dblp.org/pid/b/StBottcher | https://dblp.org/pid/48/5080
https://dblp.org/rec/data/11/KarlosBW24a,netcl-paper-artifact.,2024,,https://dblp.org/streams/repo/zenodo,Publication,3,https://dblp.org/pid/17/6729-15
https://dblp.org/rec/data/11/ZhangRSKN25b,"Keci embedding models for explainable benchmarking (QALD10, QALD9+DB, QALD9+WK).",2025,,https://dblp.org/streams/repo/zenodo,Publication,5,https://dblp.org/pid/65/4336
https://dblp.org/rec/data/11/SharmaKDENS25,Embedding the Web: An Open Billion-Scale Repository for Knowledge Graph Embeddings.,2025,,https://dblp.org/streams/repo/zenodo,Publication,6,https://dblp.org/pid/65/4336 | https://dblp.org/pid/145/1160
https://dblp.org/rec/data/11/ZhangRSKN25c,"Learning problems of 5 QA systems on QALD10, QALD9+DB, and QALD9+WK.",2025,,https://dblp.org/streams/repo/zenodo,Publication,5,https://dblp.org/pid/65/4336
https://dblp.org/rec/data/11/MiaoKBW25a,The Artifacts for Program Feature-based Benchmarking for Fuzz Testing.,2025,,https://dblp.org/streams/repo/zenodo,Publication,4,https://dblp.org/pid/94/5744
https://dblp.org/rec/data/11/ArtmannMPWS25,AmoebotSim 2.0.,2025,,https://dblp.org/streams/repo/drops,Publication,5,https://dblp.org/pid/08/335-1 | https://dblp.org/pid/s/ChristianScheideler
https://dblp.org/rec/data/11/ZhangRSKN25,"Pretrained models for explainable benchmarking (QALD10, QALD9+DB, QALD9+WK).",2025,,https://dblp.org/streams/repo/zenodo,Publication,5,https://dblp.org/pid/65/4336
https://dblp.org/rec/data/11/ZhangRSKN25a,"Knowledge bases for explainable benchmarking (QALD10, QALD9+DB, QALD9+WK).",2025,,https://dblp.org/streams/repo/zenodo,Publication,5,https://dblp.org/pid/65/4336
https://dblp.org/rec/data/11/KarlosBW24,netcl-paper-artifact.,2024,,https://dblp.org/streams/repo/zenodo,Publication,3,https://dblp.org/pid/17/6729-15
https://dblp.org/rec/data/10/HeindorfSWNP20,CauseNet: Towards a Causality Graph Extracted from the Web.,2020,,https://dblp.org/streams/repo/zenodo,Publication,5,https://dblp.org/pid/65/4336
https://dblp.org/rec/data/10/BondarenkoWHBNSBHP22,Webis Causal Question Answering 2022.,2022,,https://dblp.org/streams/repo/zenodo,Publication,9,https://dblp.org/pid/65/4336
https://dblp.org/rec/data/10/WilkeN23,LauNuts: A Knowledge Graph to identify and compare geographic regions in the European Union.,2023,,https://dblp.org/streams/repo/zenodo,Publication,2,https://dblp.org/pid/65/4336
https://dblp.org/rec/data/10/KrugerRWNABAF23,Securing Your Crypto-API Usage Through Tool Support - A Usability Study.,2023,,https://dblp.org/streams/repo/zenodo,Publication,8,https://dblp.org/pid/94/5744 | https://dblp.org/pid/132/9687
https://dblp.org/rec/data/10/BonifacioKNBM21,Dealing with Variability in API Misuse Specification (Artifact Package).,2021,,https://dblp.org/streams/repo/zenodo,Publication,5,https://dblp.org/pid/94/5744
https://dblp.org/rec/data/10/WilkeN23a,LauNuts: A Knowledge Graph to identify and compare geographic regions in the European Union.,2023,,https://dblp.org/streams/repo/zenodo,Publication,2,https://dblp.org/pid/65/4336
https://dblp.org/rec/data/10/ZaheraVSCN22,DBpedia Abstractive Summaries.,2022,,https://dblp.org/streams/repo/zenodo,Publication,5,https://dblp.org/pid/145/1160 | https://dblp.org/pid/65/4336
https://dblp.org/rec/data/10/HeindorfPES16,Wikidata Vandalism Corpus 2016 (WDVC-16).,2016,,https://dblp.org/streams/repo/zenodo,Publication,4,https://dblp.org/pid/e/GregorEngels
https://dblp.org/rec/data/10/DannHB23,UpCy: Safely Updating Outdated Dependencies.,2023,,https://dblp.org/streams/repo/zenodo,Publication,3,https://dblp.org/pid/94/5744
