venue_uri,venue_name
Taschenbuch der Algorithmen,Taschenbuch der Algorithmen
Encyclopedia of Algorithms,Encyclopedia of Algorithms
Handbook of Approximation Algorithms and Metaheuristics,Handbook of Approximation Algorithms and Metaheuristics
Encyclopedia of Education and Information Technologies,Encyclopedia of Education and Information Technologies
https://dblp.org/streams/series/synthesis-wbe,"Synthesis Lectures on Data, Semantics, and Knowledge"
https://dblp.org/streams/series/sfsc,Fifty Years of Fuzzy Logic and its Applications
https://dblp.org/streams/series/ssw,Knowledge Graphs for eXplainable Artificial Intelligence
https://dblp.org/streams/series/ncs,Cartesian Genetic Programming
https://dblp.org/streams/series/hhl,The Rise of Modern Logic: From Leibniz to Frege
https://dblp.org/streams/series/faia,Handbook of Satisfiability
https://dblp.org/streams/series/gidiss,Ausgezeichnete Informatikdissertationen
https://dblp.org/streams/series/lncs,The Challenge of Anticipation
https://dblp.org/streams/series/ifip,IFIP's Exciting First 60+ Years
https://dblp.org/streams/series/sci,Econometrics of Risk
https://dblp.org/streams/conf/evolve,EVOLVE
https://dblp.org/streams/conf/dac,DAC
https://dblp.org/streams/conf/igarss,IGARSS
https://dblp.org/streams/conf/sigir,SIGIR
https://dblp.org/streams/conf/fiff,FIFF Jahrestagung
https://dblp.org/streams/conf/sysose,SoSE
https://dblp.org/streams/conf/sutc,SUTC
https://dblp.org/streams/conf/fuzzing,FUZZING
https://dblp.org/streams/conf/wg,WG
https://dblp.org/streams/conf/csl,CSL
https://dblp.org/streams/conf/scam,SCAM
https://dblp.org/streams/conf/applied,ApPLIED@PODC
https://dblp.org/streams/conf/cw,CW
https://dblp.org/streams/conf/dexa,DEXA Workshops
https://dblp.org/streams/conf/mmm,MMM (2)
https://dblp.org/streams/conf/inlg,INLG
https://dblp.org/streams/conf/chinz,CHINZ
https://dblp.org/streams/conf/IEEEssd,SSD
https://dblp.org/streams/conf/dlog,Description Logics
https://dblp.org/streams/conf/ppam,PPAM (2)
https://dblp.org/streams/conf/itst,ITST
https://dblp.org/streams/conf/cdc,CDC
https://dblp.org/streams/conf/ias,IAS
https://dblp.org/streams/conf/mtsr,MTSR
https://dblp.org/streams/conf/mc,MuC
https://dblp.org/streams/conf/gerupa,UP
https://dblp.org/streams/conf/taros,TAROS
https://dblp.org/streams/conf/tamoco,TAMoCo
https://dblp.org/streams/conf/or,OR
https://dblp.org/streams/conf/ics,ICS
https://dblp.org/streams/conf/latw,LATW
https://dblp.org/streams/conf/slsp,SLSP
https://dblp.org/streams/conf/esorics,ESORICS (3)
https://dblp.org/streams/conf/vrml,Web3D
https://dblp.org/streams/conf/icuwb,ICUWB
https://dblp.org/streams/conf/ewspt,EWSPT
https://dblp.org/streams/conf/cisched,CISched
https://dblp.org/streams/conf/paams,PAAMS
https://dblp.org/streams/conf/paa,Parallel Algorithms and Architectures
https://dblp.org/streams/conf/oc,OC@ICAC
https://dblp.org/streams/conf/icac,ICAC
https://dblp.org/streams/conf/icinco,ICINCO (2)
https://dblp.org/streams/conf/supercomputer,ISC
https://dblp.org/streams/conf/webist,WEBIST (1)
https://dblp.org/streams/conf/ecsqaru,ECSQARU
https://dblp.org/streams/conf/edgesys,EdgeSys@MobiSys
https://dblp.org/streams/conf/icccn,ICCCN
https://dblp.org/streams/conf/nixdorf,Heinz Nixdorf Symposium
https://dblp.org/streams/conf/eurographics,Eurographics (Short Presentations)
https://dblp.org/streams/conf/icsmm,ICSMM
https://dblp.org/streams/conf/sss,SSS
https://dblp.org/streams/conf/wiopt,WiOpt
https://dblp.org/streams/conf/ercimdl,ECDL
https://dblp.org/streams/conf/camsap,CAMSAP
https://dblp.org/streams/conf/ITGspeech,ITG Symposium on Speech Communication
https://dblp.org/streams/conf/ranlp,RANLP
https://dblp.org/streams/conf/wacv,WACV
https://dblp.org/streams/conf/aaai,AAAI
https://dblp.org/streams/conf/rr,RR
https://dblp.org/streams/conf/cve,CVE
https://dblp.org/streams/conf/tamc,TAMC
https://dblp.org/streams/conf/seus,SEUS
https://dblp.org/streams/conf/eais,EAIS
https://dblp.org/streams/conf/icmla,ICMLA
https://dblp.org/streams/conf/wads,WADS
https://dblp.org/streams/conf/hri,HRI (Companion)
https://dblp.org/streams/conf/cp,CP
https://dblp.org/streams/conf/tools,TOOLS (49)
https://dblp.org/streams/conf/sagt,SAGT
https://dblp.org/streams/conf/ijcnn,IJCNN
https://dblp.org/streams/conf/isqed,ISQED
